Current,InstanceType,Manufacturer,MemoryMiB,VCpus,Price
TRUE,c7gn.xlarge,AWS,8192,4,$0.25
TRUE,g5g.xlarge,AWS,8192,4,$0.42
TRUE,c7i-flex.xlarge,Intel,8192,4,$0.17
TRUE,c5.xlarge,Intel,8192,4,$0.17
TRUE,c6in.xlarge,Intel,8192,4,$0.23
TRUE,c5d.xlarge,Intel,8192,4,$0.26
TRUE,inf1.xlarge,Intel,8192,4,$0.71
TRUE,c6i.xlarge,Intel,8192,4,$1.67
TRUE,c7i.xlarge,Intel,8192,4,$1.68
TRUE,c6id.xlarge,Intel,8192,4,$1.70
TRUE,c5n.xlarge,Intel,10752,4,$1.72
TRUE,m5a.xlarge,AMD,16384,4,$0.17
TRUE,m7a.xlarge,AMD,16384,4,$0.23
TRUE,g6f.xlarge,AMD,16384,4,$0.24
TRUE,m6a.xlarge,AMD,16384,4,$0.24
TRUE,g4ad.xlarge,AMD,16384,4,$0.38
TRUE,m5ad.xlarge,AMD,16384,4,$0.69
TRUE,inf2.xlarge,AMD,16384,4,$0.76
TRUE,g6.xlarge,AMD,16384,4,$0.80
TRUE,g5.xlarge,AMD,16384,4,$1.01
TRUE,t3a.xlarge,AMD,16384,4,$1.65
TRUE,t4g.xlarge,AWS,16384,4,$0.13
TRUE,m6g.xlarge,AWS,16384,4,$0.15
TRUE,m7g.xlarge,AWS,16384,4,$0.16
TRUE,m8g.xlarge,AWS,16384,4,$0.18
TRUE,m6gd.xlarge,AWS,16384,4,$0.18
TRUE,m7gd.xlarge,AWS,16384,4,$0.21
TRUE,m8gd.xlarge,AWS,16384,4,$0.23
TRUE,im4gn.xlarge,AWS,16384,4,$0.36
TRUE,m5.xlarge,Intel,16384,4,$0.19
TRUE,m6i.xlarge,Intel,16384,4,$0.19
TRUE,m5d.xlarge,Intel,16384,4,$0.23
TRUE,m7i-flex.xlarge,Intel,16384,4,$0.26
TRUE,m6in.xlarge,Intel,16384,4,$0.28
TRUE,g4dn.xlarge,Intel,16384,4,$0.53
TRUE,d3en.xlarge,Intel,16384,4,$0.59
TRUE,m6id.xlarge,Intel,16384,4,$0.72
TRUE,m5n.xlarge,Intel,16384,4,$0.72
TRUE,m5dn.xlarge,Intel,16384,4,$0.75
TRUE,m6idn.xlarge,Intel,16384,4,$0.80
TRUE,m5zn.xlarge,Intel,16384,4,$0.81
TRUE,m7i.xlarge,Intel,16384,4,$1.70
TRUE,is4gen.xlarge,AWS,24576,4,$0.58
TRUE,i3.xlarge,Intel,31232,4,$0.79
TRUE,r5a.xlarge,AMD,32768,4,$0.23
TRUE,r7a.xlarge,AMD,32768,4,$0.37
TRUE,r6a.xlarge,AMD,32768,4,$0.71
TRUE,r5ad.xlarge,AMD,32768,4,$1.76
TRUE,g6e.xlarge,AMD,32768,4,$1.86
TRUE,r6g.xlarge,AWS,32768,4,$0.20
